 ,Area,Mean,Min,Max,Angle,Length
1,0.002,71.074,57.917,89.200,-90.000,0.199
2,0.002,70.000,44.896,90.087,-90.707,0.207
3,0.002,70.112,45.208,90.067,-90.000,0.199
4,0.002,70.040,39.833,90.600,-91.450,0.202
5,0.002,69.587,25.667,93.000,-90.000,0.205
6,0.002,71.100,55.333,90.667,-90.000,0.194
7,0.002,70.775,55.633,91.354,-90.000,0.197
8,0.002,69.587,25.667,93.000,-90.000,0.205
9,0.002,70.100,40.042,89.100,-90.707,0.207
10,0.002,71.162,57.167,89.500,-90.000,0.205
11,0.002,69.391,34.125,88.750,-90.000,0.205
12,0.002,70.819,54.000,91.068,-90.707,0.207
13,0.002,69.464,44.708,89.750,-91.364,0.215
14,0.002,70.318,48.083,88.418,-90.707,0.207
15,0.002,70.669,55.938,89.667,-90.000,0.205
16,0.002,71.078,60.229,89.688,-90.000,0.205
17,0.002,70.318,48.083,88.418,-90.707,0.207
18,0.002,70.506,46.958,88.958,-91.469,0.200
19,0.002,71.508,58.667,90.333,-90.000,0.205
20,0.002,70.662,61.427,89.272,-91.469,0.200
21,0.002,69.137,38.954,91.545,-90.481,0.203
22,0.002,70.656,50.333,89.107,-91.925,0.203
23,0.002,71.127,61.000,91.000,-90.000,0.205
24,0.002,70.690,58.083,89.243,-90.917,0.213
25,0.002,70.145,55.588,90.528,-90.000,0.211
26,0.002,69.900,35.833,89.899,-90.000,0.222
